source,review_description,rating,review_date,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,roberta_comp,roberta_comp',Sentiment_read,Category of the subject ,,,accuracy,0.690217391,,category of the subject 
Google Play,Chill on the suggested posts and make a discovery tab,4,7/6/2023,0,1,0,0,0.022908416,0.840721846,0.13636972,0.113461301,0,1,3,,,0,57,,
Google Play,"I can't post pictures, it's keeps crashing when I choose pictures and press done",1,7/7/2023,0,1,0,0,0.871913016,0.117503226,0.010583726,-0.861329317,-1,-1,4,,,1,127,,Not Mentioned -0
Google Play,Awesome,5,7/8/2023,0,0,1,0.6249,0.00833755,0.083822265,0.907840252,0.899502695,1,1,1,,,1,,,"UI-1,"
Google Play,Am i the only person who is giving review here ?,3,7/6/2023,0,0.769,0.231,0.34,0.232839882,0.733593464,0.033566676,-0.199273199,0,0,0,,,1,,,"Login-2,"
App Store,"It desperately needs the DM feature, I don’t want to switch between the apps to chat. Everything else feels great about the app",5,7/6/2023,0.096,0.704,0.2,0.4215,0.268034786,0.347670794,0.384294391,0.116259605,0,1,5,,,0,,,Algorithm-3
Google Play,Murge this threads in instagram like reel button...... It seems like we are using two same instagram accounts in different apps,2,7/8/2023,0,0.792,0.208,0.6124,0.28905642,0.634765327,0.076178245,-0.212878168,0,-1,5,,,0,,,Images-4
Google Play,I want my data to be deleted from thread,4,7/7/2023,0,0.843,0.157,0.0772,0.935475469,0.061796639,0.002727852,-0.932747602,-1,-1,6,,,1,,,Feature Request -5
Google Play,bluds app felloff so hard,1,7/25/2023,0.318,0.682,0,-0.2183,0.93485558,0.059978276,0.005166053,-0.929689527,-1,-1,0,,,1,,,Security& Pravicy -6
Google Play,Its a very good app,5,7/18/2023,0,0.484,0.516,0.4927,0.002403862,0.016691182,0.980904937,0.978501081,1,1,0,,,1,,,Onboarding-7
Google Play,Better than Twitter 😍,5,7/8/2023,0,0.508,0.492,0.4404,0.074319541,0.291869968,0.63381052,0.559490979,1,1,0,,,1,,,Feature Removed -8
Google Play,Aburridoooo,1,7/23/2023,0,1,0,0,0.257087797,0.613910735,0.129001454,-0.128086343,0,-1,1,,,0,,,Video Player -9
Google Play,aplikasi pndo.,1,7/8/2023,0,1,0,0,0.21279341,0.643014193,0.144192383,-0.068601027,0,, ,,,,,,�Notifications - 10
Google Play,It's nxa to use,5,7/16/2023,0,1,0,0,0.131074309,0.780951679,0.087974064,-0.043100245,0,1,0,,,0,,,Help & Support -11
Google Play,The app is so lit 👌🔥 I love the app so much thanks mark,5,7/6/2023,0,0.59,0.41,0.8244,0.002385149,0.005254549,0.992360294,0.989975154,1,1,0,,,1,,,Awareness - 12
Google Play,Not soo good,1,7/20/2023,0.546,0.454,0,-0.3412,0.939143896,0.054872047,0.005984119,-0.933159769,-1,-1,0,,,1,,,Unique Selling Point_USP)/Innovation - 13
Google Play,"There's an annoying glitch that makes this app almost useless, whenever I change tab, such as from activity to feed or profile, their UI overlays on top of each other which makes reading anything is Impossible. I had to minimize and reopen the app in order to make the glitch gone, but only temporarily because the same issue will reappear if I try to change tab again. Please fix this!",1,7/9/2023,0.051,0.884,0.065,0.259,0.934458196,0.056502841,0.00903888,-0.925419331,-1,-1,1,,,1,,,(there may have multiple categories in one comment) 
Google Play,"Rapi + enteng aplikasinya, good job",5,7/6/2023,0,0.58,0.42,0.4404,0.004652468,0.0891205,0.906226993,0.901574552,1,1,0,,,1,,,"(there may have other languages: Spanish, Indian language, Emoji.)"
Google Play,Good app,5,7/7/2023,0,0.256,0.744,0.4404,0.007448298,0.064862818,0.927688837,0.920240521,1,1,0,,,1,,,
App Store,"Horrid layout, hard to find accounts you actually care about, half the stuff in your timeline are random brain rotting crap from accounts you don’t even follow, no hashtags, horrible search feature, no desktop website, collects a lot of personal data, etc.

This app is pretty trash and doesn’t have a future.",1,7/10/2023,0.241,0.658,0.1,-0.7906,0.976475179,0.020855296,0.002669571,-0.973805606,-1,-1,1,5,,1,,,
Google Play,Hate it,1,7/12/2023,0.787,0.213,0,-0.5719,0.918789744,0.069290087,0.011920211,-0.906869531,-1,-1,0,,,1,,,
Google Play,Very nice app 👌👍,5,7/6/2023,0,0.492,0.508,0.4754,0.002314388,0.021457888,0.97622776,0.973913372,1,1,0,,,1,,,
Google Play,"Best social media App so far,..to make make it all in one...can you modify the app to be able to have the LIVE option like facebook and also to be able to contact the owner of a certain account either through video ,audio calls or be able to text and send images or video to the owner of the account ( end to end encripted ) and i if one could create a group or community ( just like messanger or whatsaap ) for sure this app will be 👌.",4,7/9/2023,0,0.831,0.169,0.9287,0.004213718,0.13064307,0.865143239,0.860929549,1,1,5,,,1,,,
Google Play,Good,5,7/8/2023,0,0,1,0.4404,0.060793459,0.329428077,0.609778464,0.548985004,1,1,0,,,1,,,
Google Play,Awesome! Thanks Mark.,5,7/7/2023,0,0.121,0.879,0.807,0.001580768,0.021042181,0.977376997,0.975796223,1,1,0,,,1,,,
Google Play,Go ahead Mark 🥰,5,7/8/2023,0,1,0,0,0.033755478,0.818202972,0.148041576,0.114286095,0,1,0,,,0,,,
App Store,"Please add a way to filter your feed to just people you follow. I will never use this app again if the only thing I ever see is recommended posts instead of creators I care about. Besides that it’s a great alternative to a certain dumpster fire of an app, I just hope they’ll add more functionality!",4,7/6/2023,0.064,0.67,0.266,0.9134,0.433794051,0.329985827,0.236220151,-0.1975739,0,0,5,3,,1,,,
Google Play,Can't save a photo,2,7/17/2023,0.568,0.432,0,-0.3875,0.583938301,0.383090347,0.032971408,-0.550966918,-1,-1,4,,,1,,,
Google Play,I love it,5,7/6/2023,0,0.192,0.808,0.6369,0.008278283,0.026217727,0.96550405,0.95722574,1,1,0,,,1,,,
Google Play,Copycat,1,7/15/2023,0,1,0,0,0.282776624,0.598303378,0.118919946,-0.163856685,0,-1,13,,,0,,,
Google Play,Better than musk app,5,7/6/2023,0,0.508,0.492,0.4404,0.054074325,0.386455715,0.559469938,0.505395591,1,1,0,,,1,,,
App Store,"It’s cool and postive so far but there’s bugs, like random phantom black symbols appearing and my follower count has not updated in over a day",3,7/9/2023,0,0.824,0.176,0.5994,0.493630469,0.370980263,0.135389283,-0.3582412,0,0,12,3,,1,,,
Google Play,Wow,5,7/7/2023,0,0,1,0.5859,0.024311343,0.3279396,0.647749066,0.623437703,1,1,0,,,1,,,
Google Play,The app is excellent 👌,4,7/8/2023,0,0.519,0.481,0.5719,0.002059716,0.014981965,0.982958376,0.980898678,1,1,0,,,1,,,
Google Play,"The app is simple, but why can't you save pictures. That's what was annoying about Instagram.",4,7/8/2023,0.333,0.667,0,-0.7901,0.881924212,0.10448806,0.01358779,-0.868336439,-1,1,4,,,0,,,
Google Play,I think this app is Twitter opponet,3,7/7/2023,0,1,0,0,0.686859906,0.286375612,0.026764518,-0.660095394,-1,0,13,,,0,,,
Google Play,Not bed,5,7/11/2023,0,1,0,0,0.255461544,0.656213343,0.088325091,-0.167136461,0,1,0,,,0,,,
Google Play,Awful.,1,7/7/2023,1,0,0,-0.4588,0.916526139,0.074310951,0.009162927,-0.907363236,-1,-1,0,,,1,,,
Google Play,Gandu app but iam fan of Modi,5,7/8/2023,0,0.67,0.33,0.4497,0.016197726,0.455668598,0.52813369,0.511935949,1,1,0,,,1,,,
Google Play,"Cool interface. Nice idea. However, I'm unable to browse different locations in my phone to add a photo or video to my post. This is significant issue and a turn off",3,7/7/2023,0,0.79,0.21,0.7096,0.656242132,0.255694598,0.088063329,-0.568178773,-1,0,4,5,,0,,,
Google Play,Time of end @twittee,5,7/6/2023,0,1,0,0,0.156972721,0.767107844,0.075919457,-0.081053264,0,1,13,,,0,,,
Google Play,Good I like this app,5,7/9/2023,0,0.27,0.73,0.6597,0.002497416,0.016495721,0.981006801,0.978509367,1,1,0,,,1,,,
